channel,spend,response_mean,response_hdi_5,response_hdi_95
video_spend,0.0,0.0,0.0,0.0
video_spend,1881.0107060250511,39.0805567747108,15.358267730800888,76.0703191138451
video_spend,3762.0214120501023,114.54800702515644,45.01622047156804,222.96774067193678
video_spend,5643.032118075153,210.25466154229952,82.62797795412055,409.2607812856467
video_spend,7524.042824100205,317.7041487044317,124.85455115486768,618.4112502557216
video_spend,9405.053530125257,431.00434242075835,169.3803934830141,838.9501218318471
video_spend,11286.064236150307,545.9409366079384,214.54932482064058,1062.6742475673102
video_spend,13167.074942175357,659.544572089359,259.1944167259076,1283.8037686583914
video_spend,15048.08564820041,769.7948018687503,302.52165374802485,1498.405884233166
video_spend,16929.09635422546,875.3885684608471,344.01894733506396,1703.9441923846912
video_spend,18810.107060250513,975.5547717513857,383.3832628585677,1898.9177464376437
video_spend,20691.11776627556,1069.907584543266,420.46297409107376,2082.575533601305
video_spend,22572.128472300614,1158.3328883916356,455.2132336257456,2254.6954222779414
video_spend,24453.139178325666,1240.9022833012489,487.6621795479459,2415.4167819049335
video_spend,26334.149884350714,1317.80932277435,517.8858764471541,2565.1163644504327
video_spend,28215.160590375766,1389.3231522641279,545.9900957931177,2704.318061644799
video_spend,30096.17129640082,1455.7554506739566,572.0973242758715,2833.628556595884
video_spend,31977.18200242587,1517.437339818072,596.3376894548527,2953.692378045172
video_spend,33858.19270845092,1574.70363787766,618.8427715247207,3065.161249713869
video_spend,35739.203414475975,1627.8824435114104,639.7415099750355,3168.673815769997
video_spend,37620.21412050103,1677.288535352422,659.1576096585951,3264.8427929465392
video_spend,39501.22482652607,1723.2194637854548,677.208004899004,3354.2473631843136
video_spend,41382.23553255112,1765.9535129664375,694.0020585847349,3437.4292067021547
video_spend,43263.246238576176,1805.7489379115514,709.6412623527721,3514.891016990508
video_spend,45144.25694460123,1842.844050031759,724.2192702028264,3587.0966673044286
paid_search_spend,0.0,0.0,0.0,0.0
paid_search_spend,1078.375381099901,48.78993478105937,22.901303550607622,86.17879173906624
paid_search_spend,2156.750762199802,139.13584809266084,65.30839416449146,245.75887075935591
paid_search_spend,3235.126143299703,251.65841643867623,118.12489218913053,444.5100891602582
paid_search_spend,4313.501524399604,376.82919014292565,176.87827845883828,665.6021256075772
paid_search_spend,5391.876905499505,508.2493711654003,238.56504790784933,897.7326349322776
paid_search_spend,6470.252286599406,641.4154592613356,301.0713213803828,1132.9469803546222
paid_search_spend,7548.6276676993075,773.1705766410967,362.91530520614543,1365.6690955240517
paid_search_spend,8627.003048799208,901.3584428067335,423.08487189520696,1592.0902922593314
paid_search_spend,9705.378429899109,1024.5701024128828,480.91867778727743,1809.7219001036842
paid_search_spend,10783.75381099901,1141.9493795540868,536.0148460528101,2017.051635726961
paid_search_spend,11862.129192098912,1253.0424343255554,588.1603506758937,2213.277871194767
paid_search_spend,12940.504573198812,1357.6823947932685,637.2768643369238,2398.1058567454247
paid_search_spend,14018.879954298713,1455.9020477206607,683.3797766777445,2571.593504398503
paid_search_spend,15097.255335398615,1547.8687096640738,726.547623717373,2734.036349262384
paid_search_spend,16175.630716498516,1633.8363504805277,766.8996153054311,2885.8829841772576
paid_search_spend,17254.006097598416,1714.1109250973323,804.579362346393,3027.6738244169
paid_search_spend,18332.381478698317,1789.0256736976878,839.7432830569455,3159.997479834469
paid_search_spend,19410.756859798217,1858.923849876461,872.552495807223,3283.4602472040515
paid_search_spend,20489.132240898118,1924.1469199218884,903.167280030971,3398.665266338643
paid_search_spend,21567.50762199802,1985.0267476882,931.7434079155745,3506.1987160496674
paid_search_spend,22645.883003097922,2041.880650712658,958.4298238134982,3606.621081652006
paid_search_spend,23724.258384197823,2095.0085000085305,983.3672829262341,3700.4620322611663
paid_search_spend,24802.633765297724,2144.691254277291,1006.6876632842918,3788.2178317383336
paid_search_spend,25881.009146397624,2191.190483569186,1028.513742160224,3870.350497321009
social_spend,0.0,0.0,0.0,0.0
social_spend,653.8077052630198,12.317707759439454,3.6300925781766837,28.952518658914013
social_spend,1307.6154105260396,39.37950422923735,11.605344827675724,92.56071448050508
social_spend,1961.4231157890595,76.67993518019226,22.597975940724243,180.23460999612666
social_spend,2615.230821052079,121.55422698347087,35.822663261397416,285.71070961736825
social_spend,3269.038526315099,171.89505995118205,50.65836871116176,404.0358017747144
social_spend,3922.846231578119,225.95125987679546,66.58901213822534,531.0937875251028
social_spend,4576.653936841139,282.26532929266324,83.18506145404147,663.4588490579874
social_spend,5230.461642104158,339.64133983596133,100.09407034646317,798.3199813620777
social_spend,5884.269347367178,397.1181579088168,117.03278774244879,933.4180596903366
social_spend,6538.077052630198,453.9421982662874,133.77912814864897,1066.9817974291038
social_spend,7191.884757893217,509.53938868520004,150.1639094934172,1197.661849629012
social_spend,7845.692463156238,563.487465705547,166.06268853762614,1324.4656947151377
social_spend,8499.500168419258,615.4898059088275,181.3880488162124,1446.6961254451478
social_spend,9153.307873682277,665.3516634247388,196.08259770773847,1563.8953956576786
social_spend,9807.115578945297,712.959286769139,210.11281205786383,1675.7961348296253
social_spend,10460.923284208317,758.2620549549666,223.4637735982694,1782.2793593723966
social_spend,11114.730989471336,801.2575369656147,236.13476589571013,1883.3393552314753
social_spend,11768.538694734356,841.9792338697839,248.13566188947186,1979.0548659795766
social_spend,12422.346399997376,880.4866895014516,259.4840094572945,2069.5658481733853
social_spend,13076.154105260395,916.857632503756,270.20271563481145,2155.055001389376
social_spend,13729.961810523415,951.1818214839564,280.3182327506868,2235.7333013871803
social_spend,14383.769515786435,983.5562922653305,289.85915776701563,2311.828828872958
social_spend,15037.577221049454,1014.0817421239649,298.8551666950903,2383.578270722362
social_spend,15691.384926312476,1042.85982421359,307.3362172483194,2451.2205605817826
